"partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Singapore","South Africa","7108","kg",13,"kg",13,522913.181,NA,2017-03-01,39580.72677
"India","South Africa","710812","kg",8775,"kg",8775,347767822.372,"b",2017-03-01,39580.72677
"Singapore","South Africa","710813","kg",13,"kg",13,522913.181,NA,2017-03-01,39580.72677
"United Arab Emirates","Kenya","7108","kg",316.09,"kg",316.09,11024373.449,NA,2017-03-01,39580.72677
"United Arab Emirates","Kenya","710812","kg",289.68,"kg",289.68,10160710.822,NA,2017-03-01,39580.72677
"United Arab Emirates","Kenya","710813","kg",26.41,"kg",26.41,863662.627,NA,2017-03-01,39580.72677
"Switzerland","South Africa","7108","kg",1204,"kg",1204,37986687.582,"w",2017-03-01,39580.72677
"Thailand","South Africa","7108","kg",62,"kg",62,2499556.66,NA,2017-03-01,39580.72677
"United Arab Emirates","South Africa","7108","kg",1600.01,"kg",1600.01,50202699.53,NA,2017-03-01,39580.72677
"Switzerland","South Africa","7108","kg",1204,"kg",1204,37986687.582,"w",2017-03-01,39580.72677
"Thailand","South Africa","7108","kg",62,"kg",62,2499556.66,NA,2017-03-01,39580.72677
"Switzerland","South Africa","7108","kg",1204,"kg",1204,37986687.582,"w",2017-03-01,39580.72677
"Switzerland","South Africa","7108","kg",1204,"kg",1204,37986687.582,"w",2017-03-01,39580.72677
"United Arab Emirates","South Africa","710811","kg",0.07,"kg",0.07,1653.266,NA,2017-03-01,39580.72677
"Switzerland","South Africa","710812","kg",1200,"kg",1200,37825333.359,"w",2017-03-01,39580.72677
"Thailand","South Africa","710812","kg",62,"kg",62,2499556.66,NA,2017-03-01,39580.72677
"United Arab Emirates","South Africa","710812","kg",1599.94,"kg",1599.94,50201046.265,NA,2017-03-01,39580.72677
"Switzerland","South Africa","710812","kg",1200,"kg",1200,37825333.359,"w",2017-03-01,39580.72677
"Thailand","South Africa","710812","kg",62,"kg",62,2499556.66,NA,2017-03-01,39580.72677
"Switzerland","South Africa","710812","kg",1200,"kg",1200,37825333.359,"w",2017-03-01,39580.72677
"Switzerland","South Africa","710812","kg",1200,"kg",1200,37825333.359,"w",2017-03-01,39580.72677
"Switzerland","South Africa","710813","kg",4,"kg",4,161354.224,"w",2017-03-01,39580.72677
"Switzerland","South Africa","710813","kg",4,"kg",4,161354.224,"w",2017-03-01,39580.72677
"Switzerland","South Africa","710813","kg",4,"kg",4,161354.224,"w",2017-03-01,39580.72677
"Switzerland","South Africa","710813","kg",4,"kg",4,161354.224,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","7108","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","7108","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","710813","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","710813","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"Canada","South Africa","7108","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"Canada","South Africa","7108","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"Canada","South Africa","710812","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"Canada","South Africa","710812","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","7108","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","7108","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","710813","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"United Kingdom","South Africa","710813","kg",5420.51,"g",5420510,208271938.51,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1,"g",1000,30333.646,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",1.967,"g",1967,79230.344,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
