typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7,false,15,g,3449,false,7,false,0,false,,116836.58,116836.58,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,842,USA,USA,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,,false,0,false,,88.974,88.974,0,true,false
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,453.986,true,-1,N/A,0,false,453.986,true,0,false,,16843465.79,16843465.79,6,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,251,FRA,France,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.1,false,15,g,100,false,0.1,false,0,false,,4339.29,4339.29,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,276,DEU,Germany,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,false,-1,N/A,0,false,2,false,0,false,,38278.48,38278.48,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16.112,false,15,g,16112,false,16.112,false,0,false,,257955.52,257955.52,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,410,KOR,Rep. of Korea,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,false,8,kg,2,false,2,false,0,false,,910.28,910.28,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,512,OMN,Oman,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,0,false,,21584.68,21584.68,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,634,QAT,Qatar,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,0,false,,38660.56,38660.56,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,710,ZAF,South Africa,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,342.614,true,-1,N/A,0,false,342.614,true,0,false,,13343069.27,13343069.27,6,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,724,ESP,Spain,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,false,8,kg,3,false,3,false,0,false,,121459.68,121459.68,0,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,65.109,true,-1,N/A,0,false,65.109,true,0,false,,2246312.45,2246312.45,6,false,true
C,A,20190101,2019,52,2019,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17.714,false,-1,N/A,0,false,17.714,false,0,false,,669444.47,669444.47,0,false,true
