"date","reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2023-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",25,"g",25000,1028922.779,"b"
2023-01-01,"Kenya","Japan",710812,"kg",1.984,"g",1984,129432.044,"w"
2023-01-01,"Kenya","United Arab Emirates",710812,"kg",115.732,"g",115732,6154522.569,NA
2023-01-01,"Kenya","South Africa",710813,"kg",493.43,"g",493430.2,25425531.45,"b"
2023-01-01,"Kenya","United Arab Emirates",710813,"kg",11.107,"g",11106.7,505434.917,NA
2023-01-01,"South Africa","Botswana",7108,NA,NA,NA,NA,365.74,NA
2023-01-01,"South Africa","Lesotho",7108,NA,NA,NA,NA,10.786,NA
2023-01-01,"South Africa","Namibia",7108,NA,NA,NA,NA,3746.725,NA
2023-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,245.579,NA
2023-01-01,"South Africa","Areas, nes",7108,"kg",330343.77,"kg",330343.77,6290619492.687,NA
2023-01-01,"South Africa","Botswana",710811,NA,NA,"kg",102,365.74,NA
2023-01-01,"South Africa","Namibia",710811,NA,NA,"kg",1,0.542,NA
2023-01-01,"South Africa","Eswatini",710811,NA,NA,"kg",5,18.103,NA
2023-01-01,"South Africa","Eswatini",710812,NA,NA,"kg",14,227.477,NA
2023-01-01,"South Africa","Lesotho",710813,NA,NA,"kg",2,10.786,NA
2023-01-01,"South Africa","Namibia",710813,"kg",5.404,"kg",15.4,3746.183,NA
2023-01-01,"South Africa","Areas, nes",710813,"kg",330343.77,"kg",330343.77,6290619492.687,NA
