"date","partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2020-01-01,"Germany","South Africa",710812,"kg",1088.198,"g",1088198,55781142.299,"w"
2020-01-01,"China, Hong Kong SAR","South Africa",710812,"kg",6083,"kg",6083,317511817.769,"b"
2020-01-01,"Rep. of Korea","Kenya",7108,"kg",1,"kg",1,41434,"w"
2020-01-01,"Rep. of Korea","Kenya",710813,"kg",1,"kg",1,41434,"w"
2020-01-01,"Ireland","South Africa",7108,"kg",3.929,"g",3929,108384.121,"w"
2020-01-01,"Italy","South Africa",7108,"kg",8089.49,NA,NA,396043376.86,"w"
2020-01-01,"Rep. of Korea","South Africa",7108,"kg",149.297,"kg",149.297,9144000,"w"
2020-01-01,"Mauritius","South Africa",7108,"kg",4,"kg",4,141022.433,NA
2020-01-01,"Ireland","South Africa",710812,"kg",0.078,"g",78,1883.481,"w"
2020-01-01,"Italy","South Africa",710812,"kg",4300.49,"g",4300490,246161703.883,"w"
2020-01-01,"Rep. of Korea","South Africa",710812,"kg",149.297,"kg",149.297,9144000,"w"
2020-01-01,"Mauritius","South Africa",710812,"kg",3,"kg",3,140180.963,NA
2020-01-01,"Ireland","South Africa",710813,"kg",3.851,"g",3851,106500.639,"w"
2020-01-01,"Italy","South Africa",710813,"kg",3789,"kg",3789,149881672.978,"w"
2020-01-01,"Mauritius","South Africa",710813,"kg",1,"kg",1,841.471,NA
2020-01-01,"Rwanda","Kenya",7108,"kg",2803.11,"kg",2803.11,151203081.06,NA
2020-01-01,"Rwanda","Kenya",710812,"kg",2803.11,"kg",2803.11,151203081.06,NA
2020-01-01,"Other Asia, nes","South Africa",7108,"kg",4,"kg",4,247742.543,NA
